           YEAR,           JDAY,           HOUR,           MINS, QOMEAS_10AA001,  QOSIM_10AA001, QOMEAS_10AA006,  QOSIM_10AA006,
           2022,            170,             16,             30,   0.000000    ,   2039.632    ,   0.000000    ,   372.5059    ,
           2022,            170,             17,             30,   0.000000    ,   2044.872    ,   0.000000    ,   380.9385    ,
           2022,            170,             18,             30,   0.000000    ,   2050.604    ,   0.000000    ,   390.0391    ,
           2022,            170,             19,             30,   0.000000    ,   2056.926    ,   0.000000    ,   399.2474    ,
           2022,            170,             20,             30,   0.000000    ,   2063.439    ,   0.000000    ,   407.8593    ,
           2022,            170,             21,             30,   0.000000    ,   2070.096    ,   0.000000    ,   416.1490    ,
           2022,            170,             22,             30,   0.000000    ,   2077.008    ,   0.000000    ,   423.6306    ,
           2022,            170,             23,             30,   0.000000    ,   2084.033    ,   0.000000    ,   429.4472    ,
           2022,            171,              0,             30,  -1.000000    ,   2091.123    ,  -1.000000    ,   432.0764    ,
           2022,            171,              1,             30,  -1.000000    ,   2098.235    ,  -1.000000    ,   434.8850    ,
           2022,            171,              2,             30,  -1.000000    ,   2105.380    ,  -1.000000    ,   436.6587    ,
           2022,            171,              3,             30,  -1.000000    ,   2112.595    ,  -1.000000    ,   436.3549    ,
           2022,            171,              4,             30,  -1.000000    ,   2119.882    ,  -1.000000    ,   432.9849    ,
           2022,            171,              5,             30,  -1.000000    ,   2127.157    ,  -1.000000    ,   427.4174    ,
           2022,            171,              6,             30,  -1.000000    ,   2134.317    ,  -1.000000    ,   422.5356    ,
           2022,            171,              7,             30,  -1.000000    ,   2141.385    ,  -1.000000    ,   417.2237    ,
           2022,            171,              8,             30,  -1.000000    ,   2148.276    ,  -1.000000    ,   411.6188    ,
           2022,            171,              9,             30,  -1.000000    ,   2154.991    ,  -1.000000    ,   405.9921    ,
           2022,            171,             10,             30,  -1.000000    ,   2161.705    ,  -1.000000    ,   400.8331    ,
           2022,            171,             11,             30,  -1.000000    ,   2168.315    ,  -1.000000    ,   397.2422    ,
           2022,            171,             12,             30,  -1.000000    ,   2174.677    ,  -1.000000    ,   393.9675    ,
           2022,            171,             13,             30,  -1.000000    ,   2180.994    ,  -1.000000    ,   390.8870    ,
           2022,            171,             14,             30,  -1.000000    ,   2187.333    ,  -1.000000    ,   388.4384    ,
           2022,            171,             15,             30,  -1.000000    ,   2193.590    ,  -1.000000    ,   388.0670    ,
           2022,            171,             16,             30,  -1.000000    ,   2199.682    ,  -1.000000    ,   392.4767    ,
           2022,            171,             17,             30,  -1.000000    ,   2205.662    ,  -1.000000    ,   398.0588    ,
           2022,            171,             18,             30,  -1.000000    ,   2211.651    ,  -1.000000    ,   405.0235    ,
           2022,            171,             19,             30,  -1.000000    ,   2217.710    ,  -1.000000    ,   412.9913    ,
           2022,            171,             20,             30,  -1.000000    ,   2223.866    ,  -1.000000    ,   421.1793    ,
           2022,            171,             21,             30,  -1.000000    ,   2230.123    ,  -1.000000    ,   429.1424    ,
           2022,            171,             22,             30,  -1.000000    ,   2236.465    ,  -1.000000    ,   436.4863    ,
           2022,            171,             23,             30,  -1.000000    ,   2242.906    ,  -1.000000    ,   442.7835    ,
           2022,            172,              0,             30,  -1.000000    ,   2249.448    ,  -1.000000    ,   447.0222    ,
           2022,            172,              1,             30,  -1.000000    ,   2256.049    ,  -1.000000    ,   449.5424    ,
           2022,            172,              2,             30,  -1.000000    ,   2262.674    ,  -1.000000    ,   452.3537    ,
           2022,            172,              3,             30,  -1.000000    ,   2269.252    ,  -1.000000    ,   453.5893    ,
           2022,            172,              4,             30,  -1.000000    ,   2275.725    ,  -1.000000    ,   452.6210    ,
