ID,Name,twoyear,fiveyear,tenyear,twentyyear,fiftyyear,onehundredyear,twohundredyear,LSL,FSL,minorfloodlevel
09AE002,Teslin Lake at Teslin ,6.845,7.595,8.005,8.365,8.775,9.065,9.325,,,
09AA004,Bennett Lake at Carcross,2.564,2.894,3.094,3.264,3.484,3.634,3.784,,,
09AA017,Tagish Lake at 10 Mile,7.416,7.766,7.986,8.196,8.466,8.666,8.866,,,
09AB004,Marsh Lake near Whitehorse ,3.013,3.363,3.583,3.773,4.003,4.163,4.323,0.443,2.873,3.343
09AB010,Lake Laberge near Whitehorse,8.41,8.76,8.98,9.19,9.44,9.63,9.81,,,
10AA001,Liard at Upper Crossing,5.277,6.177,6.727,7.217,7.807,8.227,8.627,,,
09DC006,Stewart River near Mayo ,7.527,8.297,8.757,9.157,9.637,9.977,10.307,,,
09BC001,Pelly River at Pelly Crossing,4.077,4.767,5.167,5.527,5.947,6.257,6.547,,,
09BC002,Pelly River at Ross River,3.136,3.566,3.816,4.036,4.306,4.486,4.666,,,
09AH001,Yukon River at Carmacks,4.488,4.968,5.238,5.458,5.718,5.898,6.058,,,
09EB001,Yukon River at Dawson ,4.424,5.154,5.544,5.864,6.234,6.484,6.714,,,
09EA003,Klondike River above Bonanza,2.919,3.559,3.959,4.329,4.779,5.109,5.419,,,
09FD003,Porcupine River Below Old Crow,15.548,16.268,16.678,17.028,17.458,17.748,18.028,,,
